"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000152952",5219.22338503625,5.63563416896701,0.121408872366691,46.4186353032399,0,0
"ENSG00000159167",1619.0530916519,5.46700620590251,0.148394284314048,36.8410834094704,4.06298868442258e-297,2.80854092810711e-293
"ENSG00000131016",2301.14714246916,3.73928205869829,0.12611123189157,29.6506663412288,3.3251192119739e-193,1.53232577018464e-189
"ENSG00000150594",1311.40326458624,4.61015888671514,0.158416182067697,29.1015654243267,3.42983307469218e-186,1.18543605644049e-182
"ENSG00000096088",996.709407678459,3.98905566031465,0.146809107494913,27.1717179429953,1.40261615075743e-162,3.8782336568443e-159
"ENSG00000140459",604.024137167886,5.96514167120879,0.220268042541495,27.0812851577643,1.6359176713094e-161,3.76942696764207e-158
"ENSG00000158406",5444.32254356617,3.03558353788344,0.113149119968207,26.828167454916,1.51669239638993e-158,2.99546748287011e-155
"ENSG00000104419",15549.1339384382,2.99156226886296,0.112802467891315,26.5203618749311,5.64500719651454e-155,9.75527806147669e-152
"ENSG00000157219",564.826905080247,6.09972320582644,0.239520079423187,25.4664378056145,4.64249642412968e-143,7.13139034039921e-140
"ENSG00000137801",1841.58175039623,3.57790380963774,0.143679172710971,24.9020351532448,7.07192913092498e-137,9.77694202350379e-134
"ENSG00000143847",829.868955293376,4.12644513898017,0.168858115624734,24.4373515819085,6.85915610103296e-132,8.62071209970734e-129
"ENSG00000172243",698.437697315044,4.03366857614513,0.173105867464835,23.3017438127251,4.25640937804213e-120,4.90373830428603e-117
"ENSG00000146648",6097.54913004511,2.66667470774776,0.115581233424399,23.0718658102228,8.87527955774522e-118,9.43851845275598e-115
"ENSG00000134240",1046.86496577604,-3.33216839921952,0.145626248279383,-22.8816469461383,7.07777699735232e-116,6.98930478488542e-113
"ENSG00000131389",795.304532774643,4.03139294973799,0.177600747109261,22.6991891383083,4.56334000021203e-114,4.20587836686209e-111
"ENSG00000170525",2259.89474093457,2.82439249834733,0.125124345715036,22.572685453075,8.04110278930842e-113,6.94801537888681e-110
"ENSG00000115414",28778.6189472582,2.88379473278916,0.129948235140082,22.1918730152855,4.11493625221729e-109,3.34641139334729e-106
"ENSG00000166292",441.567019502071,4.75521682823813,0.21504774639033,22.112376939803,2.40276321953623e-108,1.84545563944936e-105
"ENSG00000114268",1398.73367792739,2.85516684303103,0.129245988069256,22.0909514150729,3.86176621607678e-108,2.80994304932956e-105
