"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000104419",76184.4072596409,4.52491718704213,0.0697217075521641,64.8996897222675,0,0
"ENSG00000146674",11612.9216089767,4.78219486990391,0.104371075229035,45.8191587986397,0,0
"ENSG00000165507",3874.93145083282,4.32157714974864,0.110264132181494,39.1929548099589,0,0
"ENSG00000159167",5841.2843385838,3.12891558187701,0.090806046752239,34.4571280634443,3.52168392705868e-260,1.15264714932631e-256
"ENSG00000134107",8496.31337312546,2.87014034445649,0.0869611809101535,33.0048455462197,6.92100379308215e-239,1.81219563318063e-235
"ENSG00000176171",5664.59532626254,2.86103953895802,0.0895699486112984,31.9419580262786,6.98685155071063e-224,1.52453100836506e-220
"ENSG00000181458",3638.53119922515,2.98262827390093,0.098529401249545,30.2714543686999,2.72384384453056e-201,5.09436623037059e-198
"ENSG00000132470",3586.64849082305,3.14461753694578,0.112807827881414,27.8758805661207,5.23232788856035e-171,8.56270458962901e-168
"ENSG00000148926",1504.91351301542,4.9733680324778,0.179523324275232,27.7031859372936,6.39161919740577e-169,9.29767539249293e-166
"ENSG00000114268",3529.5611088259,2.8611407149162,0.105376124657844,27.1516980170444,2.41777968632075e-162,3.16535716533112e-159
"ENSG00000197930",32161.8776835845,1.82074995101913,0.0697387870191784,26.1081390836124,2.94703790231045e-150,3.50751092882258e-147
"ENSG00000104765",5144.70308637883,2.55376851418055,0.0993333389810609,25.7090775400941,9.25299075241881e-146,1.00950129108889e-142
"ENSG00000114023",4660.85023238627,2.36823401488172,0.0923746670247718,25.637267133495,5.86352730751279e-145,5.9050230392275e-142
"ENSG00000135245",1682.82656407251,3.50999520840531,0.140163925956398,25.0420725907548,2.12996601797604e-138,1.99182250766731e-135
"ENSG00000196968",3346.00824986092,2.34547912281165,0.0955748677716188,24.5407519518238,5.42915848689599e-133,4.73856952736282e-130
"ENSG00000184368",1699.23944051027,3.04284291460259,0.124761117803417,24.389352774132,2.21836551094844e-131,1.81517757933356e-128
"ENSG00000122884",16503.4316115939,1.81076030879533,0.074444208727659,24.3237229563374,1.10008368800126e-130,8.47193861371323e-128
"ENSG00000130640",5147.00418995578,2.06683804447135,0.0866095637113616,23.8638547049997,7.27203653516054e-126,5.2891945732401e-123
"ENSG00000177181",1794.97446934434,2.89769083159917,0.124386226403298,23.295913988129,4.87686857169037e-120,3.36041912318791e-117
"ENSG00000111674",4303.14210946183,2.30373527659155,0.0992551158146376,23.2102421893684,3.58845620199269e-119,2.34900342982442e-116
"ENSG00000152952",7243.33681642338,2.19835687265203,0.0951103185263617,23.1137578625889,3.36711811050024e-118,2.09915763346044e-115
"ENSG00000134333",72852.6806550705,1.7018802728699,0.0740356819897161,22.9872978424957,6.24579291980808e-117,3.71681458664215e-114
"ENSG00000116285",3410.80243339318,2.71698420895059,0.11839460945786,22.9485465714353,1.52354528746327e-116,8.67228474063874e-114
"ENSG00000026025",11097.2764846129,1.73544596192374,0.0756565471176909,22.9384769466691,1.92035455872041e-116,1.04755341178199e-113
"ENSG00000117394",3876.44212612897,2.32503546457502,0.101743703639952,22.8518854867205,1.39964649557972e-115,7.32966876805188e-113
"ENSG00000119950",2641.89212741384,2.29947621583426,0.101549972622937,22.6437896184609,1.60623592209945e-113,8.08801565081769e-111
"ENSG00000117298",3870.46986866652,2.05249578365235,0.0908333571732818,22.5962779261459,4.71477825349264e-113,2.28614358869354e-110
"ENSG00000113083",1015.82188731199,3.64553151615861,0.161350283433338,22.5938959547274,4.97600692518025e-113,2.32663866658785e-110
"ENSG00000163814",16349.2134485487,1.66356880703758,0.073680072418997,22.5782732348219,7.08636724268894e-113,3.19912827383737e-110
"ENSG00000185033",2758.74828917808,2.32440726962386,0.103404265488797,22.4788335242872,6.687347371176e-112,2.91835839278121e-109
"ENSG00000124731",876.174599113556,4.2546400635826,0.192505769572199,22.1013638865868,3.06663145121125e-108,1.29510770836315e-105
"ENSG00000104368",5088.61027965471,2.00485552138908,0.0914915988123838,21.9130012745795,1.95279978010549e-106,7.98939210035657e-104
"ENSG00000259207",16672.5870835963,1.91715815646026,0.0875430574999057,21.899602449484,2.62057026945056e-106,1.0396516959893e-103
"ENSG00000163235",2489.59459651316,2.1454851722817,0.103936427693154,20.6422831715528,1.14522982220754e-94,4.40980848010034e-92
"ENSG00000168209",1280.10553911941,2.72466665024255,0.132688234281771,20.5343500498813,1.06226086877065e-93,3.97346265541296e-91
"ENSG00000144476",827.696590377509,4.54055874289121,0.221531076372406,20.4962609185281,2.32485482980142e-93,8.45472206437784e-91
"ENSG00000115548",4208.3920603225,1.87918960689673,0.0923764331265432,20.3427383294016,5.38388257824102e-92,1.90502137065761e-89
"ENSG00000113369",2387.72623907724,2.08932331490399,0.10331732726821,20.2223902819334,6.21954521504184e-91,2.14279699882441e-88
"ENSG00000162723",743.033197623908,5.2963650759751,0.263033325348081,20.1357188066046,3.5906541774341e-90,1.20535498694788e-87
"ENSG00000142156",6935.14840703188,1.62029248722425,0.0805918299818691,20.104922392118,6.68249408267503e-90,2.18718031325954e-87
"ENSG00000170525",1870.12599575934,2.47730095564593,0.123369284443731,20.0803706272272,1.09574234247683e-89,3.49889237748944e-87
"ENSG00000163516",1779.50132885226,2.26125331462099,0.113929686153352,19.8477972771495,1.15138751516674e-87,3.58903936870547e-85
"ENSG00000114480",3227.10959428324,1.88937860439687,0.0955377289136486,19.7762562066403,4.76803456351476e-87,1.45170019780314e-84
"ENSG00000162433",4603.93356231534,1.76887939722902,0.091512429192008,19.3293896014674,3.03993054097735e-83,9.04517514601714e-81
"ENSG00000125629",1443.96212924052,2.86098032324904,0.148285309067374,19.2937543256502,6.06080952290521e-83,1.76329151719722e-80
"ENSG00000152256",2035.87538879328,2.16191132196982,0.112452374608349,19.2251282331685,2.28074642847221e-82,6.4912026612083e-80
