Geneid,LNCAP_Hypoxia_S1,LNCAP_Hypoxia_S2,LNCAP_Normoxia_S1,LNCAP_Normoxia_S2,PC3_Hypoxia_S1,PC3_Hypoxia_S2,PC3_Normoxia_S1,PC3_Normoxia_S2
ENSG00000000003.16,604,691,367,380,1059,332,352,971
ENSG00000000005.6,0,0,0,0,0,0,0,0
ENSG00000000419.14,1995,2302,2159,2454,1974,693,747,1761
ENSG00000000457.14,554,607,433,518,88,26,29,84
ENSG00000000460.17,275,350,379,349,390,155,189,438
ENSG00000000938.13,2,2,2,1,0,0,0,1
ENSG00000000971.17,0,0,1,0,3,1,0,2
ENSG00000001036.14,178,229,334,452,821,280,287,732
ENSG00000001084.13,1274,1749,915,941,804,251,310,903
ENSG00000001167.15,5820,6361,4616,5061,2311,727,685,1855
ENSG00000001460.18,286,289,432,512,320,119,130,391
ENSG00000001461.19,1652,1985,2190,2735,800,258,324,864
ENSG00000001497.18,2310,2456,2829,3617,426,151,230,609
ENSG00000001561.7,1350,1544,1242,1344,1704,560,513,1525
ENSG00000001617.12,1233,1195,757,986,270,93,159,403
ENSG00000001626.18,6,2,10,15,7,1,1,4
ENSG00000001629.10,2465,2852,2490,2741,1296,412,462,1257
ENSG00000001630.18,123,166,172,191,101,29,41,101
ENSG00000001631.17,652,776,730,746,254,90,96,292
ENSG00000002016.18,467,617,613,719,159,43,70,188
ENSG00000002330.14,248,320,218,524,173,71,107,198
ENSG00000002549.13,2172,2519,3845,5070,756,244,333,962
ENSG00000002586.20,8476,10240,7193,9439,3949,1455,1173,3056
ENSG00000002587.10,75,92,244,422,57,17,16,42
ENSG00000002726.21,13,10,7,7,1,0,0,0
ENSG00000002745.13,0,1,2,0,3,0,0,4
ENSG00000002746.15,0,5,1,2,17,8,9,44
ENSG00000002822.16,4,5,2,5,1,2,3,4
ENSG00000002834.19,4015,4530,4146,4826,6525,2253,2575,6776
ENSG00000002919.15,336,345,356,557,419,141,163,430
ENSG00000002933.9,6,1,1,1,0,0,0,0
ENSG00000003056.8,2144,2419,2274,2699,2620,980,1252,2935
ENSG00000003096.15,69,92,121,211,276,85,119,279
ENSG00000003137.9,52,86,32,35,615,182,188,470
ENSG00000003147.19,2587,2769,2701,3406,30,18,14,60
ENSG00000003249.15,2037,2298,1503,2319,527,142,180,427
ENSG00000003393.16,2104,2273,1837,1966,794,259,302,980
ENSG00000003400.16,46,53,69,76,1,3,4,5
ENSG00000003402.21,2499,2958,2599,2697,759,248,289,792
ENSG00000003436.16,9049,10228,4862,5115,2919,952,612,1836
ENSG00000003509.16,862,939,900,1097,369,163,205,537
